[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run ContentReplace Behavior [ RunTime:0.000591s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run TokenBuild Behavior [ RunTime:0.000751s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000492s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004620s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006771s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_end ] --START--
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000752s ]
[ 2014-10-06T00:01:16+08:00 ] /index.php/Public/LogOut/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000848s ]
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Tag[ route_check ] --START--
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001384s ]
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001527s ]
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004508s ]
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004615s ]
[ 2014-10-06T00:01:18+08:00 ] /index.php/Public/login/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
